['1.000', '-0.000', '0.250', '-0.000', '0.141', '-0.000', '0.098', '-0.000', '0.075', '-0.000']
['1.000', '-0.000', '0.250', '0.000', '0.141', '0.000', '0.098', '0.000', '0.075', '0.000']
['1.000', '-0.000', '0.250', '-0.000', '0.141', '-0.000', '0.098', '-0.000', '0.075', '0.000']
['1.000', '-0.000', '0.250', '-0.000', '0.141', '-0.000', '0.098', '-0.000', '0.075', '-0.000']
['1.000', '-0.000', '0.250', '-0.000', '0.141', '-0.000', '0.098', '-0.001', '0.075', '-0.001']
['1.000', '-0.000', '0.250', '-0.000', '0.141', '-0.000', '0.098', '-0.000', '0.075', '-0.000']
['1.000', '-0.000', '0.250', '-0.000', '0.141', '-0.000', '0.098', '-0.000', '0.075', '-0.000']
['1.000', '-0.000', '0.250', '-0.000', '0.141', '-0.000', '0.098', '-0.000', '0.075', '-0.000']
['1.000', '-0.000', '0.250', '-0.000', '0.141', '-0.000', '0.098', '-0.000', '0.075', '-0.000']
['1.000', '-0.000', '0.250', '-0.000', '0.141', '-0.000', '0.098', '-0.000', '0.075', '-0.000']
['1.000', '0.000', '0.250', '0.000', '0.141', '0.000', '0.098', '0.000', '0.075', '0.000']
['1.000', '-0.000', '0.250', '0.000', '0.141', '0.000', '0.098', '0.000', '0.075', '0.000']
['1.000', '-0.000', '0.250', '-0.000', '0.141', '-0.000', '0.098', '-0.000', '0.075', '-0.000']
['1.000', '-0.000', '0.250', '-0.000', '0.141', '-0.000', '0.098', '-0.000', '0.075', '-0.000']
['1.000', '0.000', '0.250', '0.000', '0.141', '0.000', '0.098', '-0.000', '0.075', '-0.000']
['1.000', '-0.000', '0.250', '-0.000', '0.141', '-0.000', '0.098', '-0.000', '0.075', '-0.000']
